PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Richy Werenski,297.6,170.93,0.5448,30.12,0.3289,0.6057,34.69,50.68,0.4686,0.5,9.65,9.51,12.16,8.03,0.024,0.4852
Rickie Fowler,306.6,175.25,0.5833,29.88,0.2601,0.6878,33.16,59.96,0.5673,0.5414,11.62,7.07,10.13,7.46,0.0189,0.4417
Robby Shelton,290.8,169.88,0.586,30.29,0.3171,0.6491,31.56,51.62,0.431,0.5291,8.3,7.75,11.69,6.89,0.0222,0.443
Robert Streb,294.8,173.72,0.5185,30.86,0.3478,0.6154,34.4,54.8,0.3611,0.5249,12.7,8.55,13.52,8.23,0.0242,0.3743
Rory McIlroy,328.2,184.27,0.5089,28.61,0.3311,0.6296,31.21,49.15,0.766,0.4606,8.22,7.01,13.79,6.5,0.0185,0.4297
Rory Sabbatini,281.6,165.36,0.5373,32.41,0.31,0.5907,36.79,55.68,0.3186,0.4375,8.68,7.0,13.45,7.15,0.0352,0.4698
Russell Henley,287.3,167.85,0.742,19.65,0.2,0.6806,33.05,59.67,0.3733,0.4483,8.48,6.73,9.18,6.49,0.025,0.425
Russell Knox,282.8,165.97,0.6126,28.47,0.302,0.6891,29.88,54.54,0.2723,0.5181,11.1,7.33,13.27,7.73,0.0305,0.403
Ryan Armour,282.6,159.9,0.6882,23.14,0.224,0.6746,30.74,50.67,0.2374,0.5436,10.12,11.11,11.04,8.53,0.0188,0.4046
Ryan Brehm,306.2,181.84,0.4763,34.85,0.3919,0.6011,35.52,57.42,0.5054,0.5123,10.93,10.02,13.72,8.87,0.0356,0.4624
Ryan Gerard,301.1,170.81,0.5915,26.37,0.2614,0.6273,35.16,57.52,0.6301,0.5522,14.5,6.96,13.28,7.3,0.0301,0.4341
Ryan Moore,283.6,159.59,0.6846,22.12,0.2475,0.6425,32.34,54.66,0.3356,0.4588,8.8,8.01,9.64,7.44,0.0242,0.4897
Ryan Palmer,302.0,171.28,0.5814,24.25,0.259,0.6463,34.14,52.19,0.5535,0.4937,8.04,9.7,11.47,8.67,0.0352,0.4259
S.H. Kim,304.8,175.46,0.5593,28.7,0.3131,0.6304,34.46,56.49,0.5515,0.519,7.11,8.45,12.21,7.46,0.0274,0.5182
S.Y. Noh,301.6,175.14,0.5438,35.7,0.3145,0.6553,33.6,53.23,0.287,0.5306,9.42,11.14,12.85,8.71,0.0199,0.4741
Sahith Theegala,302.7,175.35,0.5509,31.26,0.3145,0.6676,34.58,55.81,0.6214,0.5361,8.49,9.75,14.48,7.95,0.0206,0.4645
