PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Niklas Norgaard,318.5,187.29,0.5257,36.94,0.35,0.6806,33.23,47.53,0.6949,0.5659,12.42,6.93,10.71,7.66,0.0333,0.4316
Noah Goodwin,299.1,170.22,0.6237,22.59,0.3296,0.6437,35.35,47.14,0.4321,0.5235,11.04,8.32,13.32,7.56,0.0383,0.4274
Patrick Cantlay,302.1,176.94,0.6161,26.6,0.266,0.7083,32.65,50.31,0.7015,0.6205,8.7,9.09,14.19,7.76,0.0216,0.4483
Patrick Fishburn,304.1,177.65,0.5198,31.2,0.321,0.6633,35.76,55.71,0.6526,0.5872,11.25,6.73,10.61,7.67,0.0303,0.4675
Patrick Rodgers,304.6,176.79,0.5849,33.12,0.2624,0.6304,34.42,55.08,0.6023,0.5,9.59,8.29,12.32,7.0,0.0278,0.446
Patton Kizzire,294.3,171.19,0.6029,33.9,0.2405,0.6044,35.12,55.72,0.6023,0.4604,8.95,8.08,11.72,7.17,0.0378,0.4903
Paul Peterson,278.2,156.35,0.7091,19.27,0.2581,0.6505,33.89,49.75,0.3273,0.4688,7.49,6.21,6.64,6.21,0.0185,0.4537
Peter Malnati,297.1,173.21,0.4791,34.28,0.3351,0.5824,38.28,64.91,0.5593,0.4598,8.56,7.05,8.74,6.47,0.0251,0.4171
Philip Knowles,295.3,170.79,0.6103,26.31,0.3375,0.5917,34.59,55.09,0.5918,0.5755,11.09,8.14,10.05,7.17,0.0472,0.4353
Quade Cummins,300.9,172.88,0.5682,27.04,0.3439,0.6632,36.28,59.17,0.6543,0.5579,11.3,10.3,11.72,8.56,0.0208,0.5
Rafael Campos,300.6,175.44,0.5215,32.27,0.3515,0.5871,35.92,56.67,0.5276,0.4816,10.48,8.5,16.57,8.08,0.021,0.4882
