PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Michael Gligic,2022,69.75,69.66,0.3982,0.5543,0.5006,-0.7728,-1.5085,-0.9497,-0.7829,-0.4995,0.4549,-0.0227,0.1895,-0.5704,-0.1788,-0.0344,-1.1834,-0.5153,-2.2231
Sepp Straka,2022,69.75,68.42,0.8272,-0.2904,-0.4979,0.7308,0.3028,0.9121,0.6375,0.3129,-0.5842,0.1711,-0.2673,-0.7902,0.0392,0.422,0.0018,0.5532,1.7293
Keith Mitchell,2022,70.0,67.92,0.8272,1.4429,0.7265,1.0835,0.0726,1.4761,0.2587,0.0534,-0.8899,1.3432,-1.1928,-0.0975,-0.5485,-0.4213,0.0966,0.474,0.772
Martin Trainer,2022,70.0,69.99,-0.0308,0.7518,0.7068,-0.4823,-1.1507,-1.9243,-0.5462,-3.3487,-1.8624,-0.4981,0.5107,-1.7028,1.1293,1.1313,-0.5513,-0.6604,-0.3617
Adam Schenk,2022,70.25,68.94,0.6842,0.7298,1.3649,-0.8878,-0.1433,-1.1739,0.0524,-0.8775,0.0493,-0.0099,0.3132,0.9683,-0.4822,0.7791,0.7761,-0.7791,0.7503
Sahith Theegala,2022,70.25,68.07,-0.1,0.4775,0.3991,-0.7313,-0.4908,-0.4825,0.394,-0.5221,-0.4453,1.356,0.161,0.8085,-1.1552,-1.0958,-0.4407,0.8829,0.071
Patton Kizzire,2022,71.0,69.31,1.8283,0.3129,-0.1149,-0.62,-1.1733,-0.1804,-1.2632,0.5612,1.1801,-0.0821,-1.2189,-0.6304,0.1908,-1.5125,-0.7093,0.7774,0.0903
Max McGreevy,2022,71.0,70.14,-0.1,-1.3216,-1.1772,-0.4407,-0.4085,-1.273,-2.386,-2.1187,-2.0874,-0.8447,-2.0207,1.2947,0.1719,-0.4659,0.0334,-0.6076,-0.9733
Sam Burns,2022,70.0,67.96,1.9713,1.1138,1.0408,-0.1068,-0.7293,-0.466,-0.5563,-0.7929,-0.7565,1.8561,-1.2689,0.5753,0.5605,0.9626,1.0606,0.5268,1.1782
Wyndham Clark,2022,70.0,68.23,0.5412,1.5745,2.1309,-1.0256,-1.2186,-0.8435,0.9418,1.1649,0.83,0.77,1.2982,0.3555,0.5605,0.7444,0.9499,0.474,0.5134
