PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Troy Merritt,2024,66.5,69.33,-0.3045,-1.0474,-1.2643,1.0332,-0.3472,1.8718,-0.219,-0.4302,-0.0803,-1.2409,0.3059,0.7675,-0.0929,2.4147,1.2343,-0.3392,-0.8929
Ryo Hisatsune,2024,66.75,69.04,-0.1,-0.4462,-0.6809,0.4687,0.1139,0.531,0.2316,-0.75,-1.6273,-0.6312,0.6583,-0.2065,1.0188,0.7015,0.4365,-0.3272,-2.0782
Daniel Berger,2024,66.75,68.5,0.4797,-0.6265,-0.5505,1.6495,0.8641,0.9513,0.7979,-0.4802,0.5829,0.7101,0.4022,-0.0878,0.2608,1.2898,0.3824,-0.1235,-2.2704
Alex Smalley,2024,66.75,69.33,-0.1,0.2752,0.0488,-0.5328,0.2613,-0.4855,-0.2072,-0.3136,-0.4616,-0.5766,-0.2063,-0.3251,0.3703,-0.7096,-0.0639,-0.7828,-1.6032
Adam Schenk,2024,66.75,68.69,0.1072,0.3113,0.8614,0.7643,0.49,0.1358,0.116,0.7992,0.1863,0.5482,0.2139,0.5365,0.1261,-0.7533,-0.1315,0.416,0.219
Ben Griffin,2024,66.75,68.44,-0.151,-0.5063,-0.5082,-0.9558,-0.0221,-0.2594,-0.4977,-1.0932,-1.1865,0.2038,-0.2107,0.7862,1.2883,1.095,1.3695,0.1283,-0.2883
Si Woo Kim,2024,66.75,67.59,0.5828,-0.9151,-0.8536,2.4143,1.9318,1.7394,0.9758,0.606,-0.2346,1.5597,1.2625,0.805,0.2693,0.2205,1.2478,1.327,-1.1326
Keith Mitchell,2024,67.0,68.04,0.1628,1.0929,0.7821,-0.2723,-0.1998,0.7434,1.7496,0.6659,1.3542,1.152,1.1224,-0.4,-0.0508,-0.2405,-0.2667,-1.55,-0.8519
Zach Johnson,2024,67.0,69.87,-0.1,-1.8289,-1.7896,1.721,1.4631,0.0924,0.3858,-0.4268,-1.8454,-1.7043,0.5883,0.5115,-1.0698,-0.8368,0.0037,0.2961,-0.297
Stephan Jaeger,2024,67.0,68.19,0.6972,1.2973,0.6693,0.0373,-1.5037,0.6041,0.285,0.2895,-0.585,1.3627,0.0542,-0.219,1.2125,0.9162,1.4371,-0.6269,0.6768
Jorge Campillo,2024,67.25,69.79,-0.1,-0.0494,-0.6598,0.3959,-1.275,0.8302,-0.8891,-1.1565,0.0409,-0.6468,-0.2939,0.268,1.2883,-0.1134,0.9773,-1.6339,0.7955
Nico Echavarria,2024,67.25,67.97,-0.1,-1.0594,-0.9823,0.4841,0.9019,1.2619,0.6259,-0.7533,-1.0323,0.1355,-0.0137,1.0297,0.185,0.622,0.3553,0.8595,0.2925
Patton Kizzire,2024,67.25,68.75,0.647,0.4917,-0.0851,-0.0916,-1.6189,0.097,0.6586,0.576,1.8125,0.9715,-0.3596,-1.2616,0.7493,-0.6102,-1.1456,-0.1235,-0.7461
Justin Lower,2024,67.25,69.64,0.412,-0.1095,-0.829,-0.5034,0.5353,-0.3599,0.7416,0.4061,0.3273,-1.6184,0.9407,-1.8735,-0.1939,-0.4393,-1.362,-0.0276,-0.949
Chris Gotterup,2024,67.25,69.47,-0.1,2.1389,1.8114,-2.2683,-3.6295,-1.6665,-0.142,-1.3897,-1.1447,-0.6634,1.2559,-0.9557,-0.4129,1.3494,-1.1727,1.0753,1.0913
Min Woo Lee,2024,67.25,68.75,-0.4746,1.3694,2.4213,1.2573,-0.0165,0.25,-0.5659,-0.5568,0.9267,1.0554,-0.2873,1.1234,0.025,-0.9958,-0.4695,1.1592,-0.6446
Adam Scott,2024,67.5,68.89,0.7802,0.3835,0.6428,0.8049,-0.1223,-0.3896,-0.3406,0.1095,-0.0252,0.7745,-0.5982,-0.1253,0.025,-0.4472,-0.1044,0.8116,0.6444
Dylan Wu,2024,67.5,68.7,-0.6818,-0.9031,-0.5223,-0.1952,0.2915,0.2934,-0.1805,-0.9732,-0.878,-0.1747,-0.1779,0.4491,0.5135,0.7492,0.3688,0.0923,-1.4953
Luke List,2024,67.5,68.36,0.2609,0.0348,0.7063,0.0625,0.3728,-0.449,0.4777,0.1662,1.3476,1.113,-0.0181,0.087,0.7493,0.5862,0.1119,-0.0276,-1.2772
Kevin Dougherty,2024,67.5,69.58,-0.1,2.0067,2.1305,-1.0245,-1.2958,-1.6094,-0.0945,-0.0337,1.7817,0.5501,1.941,-0.4125,-1.0277,-1.8822,-0.8617,-0.3992,0.042
Adrien Dumont de Chassart,2024,67.5,70.08,-0.1,0.6239,0.5882,-1.0945,-2.182,-1.0475,-0.5481,-0.69,-0.9221,-1.2409,-1.1038,-1.6986,-0.2697,-0.32,-1.673,-0.3392,-3.3348
Davis Riley,2024,67.5,68.65,0.4672,0.3354,0.2357,-0.9236,-0.7894,0.1175,-0.4681,-0.6967,-0.7017,0.5696,0.0366,1.1296,-1.954,-0.5864,-1.0916,-0.4951,-0.2322
Andrew Novak,2024,67.5,68.61,0.2906,0.3354,-0.1609,-0.8494,-0.899,-0.3393,0.7149,0.0429,1.4996,-0.2635,1.0085,1.6915,0.9935,1.0593,1.4912,0.7636,-0.5604
Carson Young,2024,67.5,69.3,0.3748,-0.6265,-1.0916,0.6844,0.866,1.2574,-0.2754,-0.1003,0.4397,-0.9317,-1.1366,-0.0878,-0.5139,-0.1372,-0.8346,-0.567,0.5904
Nick Dunlap,2024,67.5,69.45,-0.1,0.636,1.3108,-0.8368,-1.1862,-1.1228,-2.3152,0.7759,-1.0014,0.4682,-0.9462,-0.8183,0.2524,0.0576,0.5717,0.5478,0.0096
Maverick McNealy,2024,67.75,68.48,0.1735,0.6119,0.4419,-0.7429,0.0629,-0.3051,-0.557,-0.4668,0.2943,0.1375,-0.4493,-0.1503,0.8335,0.4113,0.9368,1.8785,0.843
Aaron Baddeley,2024,67.75,69.72,0.3147,-1.8049,-0.7814,-0.9979,-1.2429,0.0056,-1.4673,-1.0998,-0.9067,-2.4496,-0.6485,1.3169,0.9851,-0.3399,1.2072,1.5428,1.8276
Ryan McCormick,2024,67.75,70.23,-0.1,0.9606,0.701,-1.9826,-2.6072,-3.0279,-1.2627,-2.1693,-0.7568,-0.4225,0.7262,-0.3438,0.3198,0.8685,0.166,-0.1235,-0.1869
Tom Hoge,2024,67.75,68.28,0.3451,-0.6987,-0.2596,-0.3549,0.8471,0.2203,1.0677,1.712,1.46,-0.0586,0.9232,-0.5499,1.2377,1.103,-0.2667,0.6078,0.3464
Vince Whaley,2024,67.75,69.84,0.4948,0.3113,0.8755,-1.673,-1.0955,-1.5294,-1.4524,-1.2931,-1.6295,-0.9756,-0.6923,-0.9494,-0.236,-1.4131,-1.4567,-0.1235,0.0463
Mackenzie Hughes,2024,67.75,68.11,0.2738,-0.3139,-0.0781,-1.0987,0.3879,-0.0766,-1.0848,-1.0232,-0.618,0.953,-0.3026,-1.6612,1.0104,1.2818,0.8421,1.2311,1.0892
David Skinns,2024,68.0,68.8,0.182,0.2993,0.8579,-1.1982,-0.8082,-0.8533,0.196,-0.6634,0.2326,-0.3688,-0.0859,1.3731,0.185,1.2302,0.9097,-0.1235,-0.012
Martin Laird,2024,68.0,69.26,-0.0795,-1.2277,-0.7955,-0.0117,0.6185,0.314,1.3257,-0.4002,-0.2346,-2.1169,1.2559,1.0047,-0.3624,1.7509,1.3019,-0.591,1.9161
Ben Martin,2024,68.0,69.18,0.1787,-0.6025,-0.5187,0.0107,-0.0486,0.3734,0.3295,0.4161,0.3516,-1.4672,-0.1232,-0.4,0.4798,0.2802,0.6528,1.2072,0.463
Brandt Snedeker,2024,68.0,70.5,0.1637,-1.8169,-1.8777,-0.6056,0.2859,0.017,-1.4109,-2.739,-2.956,-1.3824,-1.1563,-1.5426,-1.4824,0.0735,-2.7954,-4.6667,0.4026
Mark Hubbard,2024,68.5,67.95,0.4603,-0.7348,-0.5963,0.5135,0.3274,1.1866,0.5548,-0.3869,-0.0297,0.9822,0.1899,-0.6997,0.1514,-0.4671,0.3012,0.8236,1.1863
Harrison Endycott,2024,68.5,69.88,0.1321,-1.2518,-1.155,0.1816,-1.1956,0.0376,-0.4384,-1.4463,-0.8714,-0.4537,-0.1582,-3.5404,-1.0445,0.8685,-0.5777,-0.7828,-2.0458
Tom Kim,2024,68.5,69.0,0.6226,-0.6626,-0.8625,1.2993,1.3101,0.4282,0.0359,1.2023,0.2987,0.5345,-1.8218,0.1244,-0.3539,-0.5506,0.1119,-1.6339,-0.0444
Tyson Alexander,2024,68.5,69.21,-0.151,0.4316,0.3626,-0.7163,-1.583,-0.4307,-0.563,-1.1431,-1.0014,0.2945,0.5248,-0.7934,-1.0698,0.5107,-0.9834,-0.0156,0.137
Hayden Buckley,2024,68.5,68.84,-0.3713,-0.35,-0.2526,0.0373,0.0553,1.2322,-1.3279,-1.6795,-2.0503,-0.244,-3.0038,-1.0493,1.0609,0.0536,-0.4966,-0.519,-1.627
Beau Hossler,2024,68.5,68.2,0.0725,-0.1336,-0.3372,-0.953,0.146,-0.385,0.5963,-1.0099,-0.5211,0.3921,-0.1297,0.0495,0.3366,0.9837,0.5446,0.2002,0.5213
K.H. Lee,2024,68.75,68.4,1.6338,0.3474,-0.4535,0.1381,0.6922,0.435,-0.7676,-0.71,-1.8344,0.1531,-1.2461,0.0245,1.0104,0.0019,0.761,0.7636,0.0485
Jason Day,2024,68.75,67.95,0.9211,0.4676,0.2145,0.9814,0.8244,0.4602,-0.5185,-0.4402,-2.1715,1.5617,0.8203,0.8861,0.5472,0.8049,0.7204,1.0633,1.5145
Sam Stevens,2024,69.0,69.05,0.213,1.1049,0.7856,-1.0021,-0.4605,-1.2942,-0.0056,-0.127,0.7196,0.0136,0.8553,-0.3376,0.9009,0.8645,0.6393,0.404,-1.0527
Joel Dahmen,2024,69.0,69.22,-0.1,-0.831,-1.2749,0.5766,-0.0354,1.0107,1.1063,0.7892,0.6402,-1.0058,1.2274,-0.0941,-0.2697,-0.9401,-0.4154,-0.1235,-2.1041
Tom Whitney,2024,70.75,69.54,-0.1,-0.4342,-0.584,0.2936,1.0928,0.764,0.3206,0.0962,0.7548,-1.6926,0.041,-0.2939,-0.7497,-0.7573,-1.4431,-0.1235,-0.1199
Jacob Bridgeman,2024,68.5,68.98,-0.1,-0.35,0.1228,-0.2863,-0.9349,-0.0013,-0.4977,0.0429,0.5829,-0.1435,-0.6726,1.1296,-0.236,0.9678,0.3688,0.5958,0.1305
Rico Hoey,2024,68.5,68.98,-0.1,1.177,0.7697,-0.3227,-0.6023,-0.931,0.9135,-0.9199,-0.3205,0.913,1.9389,0.755,-0.3708,-0.8447,-0.3208,-2.0295,-2.1041
Robert MacIntyre,2024,68.5,68.77,-0.1,0.1791,0.5441,-0.939,-1.0048,-0.1749,0.2672,0.0362,2.5001,0.1287,0.1461,1.5479,0.6061,0.9122,0.8421,-0.591,-0.4524
Thomas Detry,2024,68.5,68.53,-0.1,0.5157,1.1487,-0.5832,0.2708,-0.2297,0.2791,0.5493,0.5124,0.3404,0.9582,0.4678,-0.4213,-1.8703,-0.118,0.6318,1.0589
Doug Ghim,2024,68.5,68.16,0.1832,-1.0835,-1.0405,0.9113,1.038,1.8901,0.8216,-0.3102,-0.5056,-0.0918,-0.5916,0.6364,-0.9519,-0.3956,-0.0774,0.2721,-0.297
Nate Lashley,2024,68.5,69.11,0.2944,-0.6506,-1.2538,0.9394,0.3747,1.3213,0.3858,-0.5601,0.1136,-0.483,-0.5434,0.4491,0.6398,-0.5824,0.1525,-1.55,1.4476
Chesson Hadley,2024,68.5,68.85,-0.3948,0.0829,-0.3672,-1.2066,0.2235,-1.0406,0.0092,-0.4468,-0.8009,-0.7619,0.9057,0.7488,0.9767,0.5823,0.6258,1.387,0.0657
Kevin Yu,2024,68.5,68.61,-0.1,1.3814,1.1628,-0.2204,0.5391,-0.3096,1.7882,0.7159,2.0351,1.0183,0.5817,-1.5113,-0.935,0.4908,-2.1057,-1.9695,-0.8087
Matti Schmid,2024,68.5,68.9,-0.6364,0.8163,0.4066,-0.5314,-1.0426,-0.465,0.6259,0.1462,0.486,0.2467,-1.0951,0.0308,0.025,-0.0378,-0.3614,-0.5071,-0.6964
Alejandro Tosti,2024,68.5,69.03,-0.1,1.7902,1.9736,-1.6366,-0.0826,-2.1599,-0.732,-0.1603,0.3494,1.4759,0.5686,0.0995,-1.4908,0.7055,-0.5507,-1.7897,-1.5233
Harry Hall,2024,68.5,69.34,-0.1915,-0.4702,0.0647,-1.3102,-1.4545,-0.9538,-0.6312,-0.76,-0.5519,-0.4342,-0.5172,0.0308,1.1704,0.5624,1.099,-0.9026,-0.2041
Nick Hardy,2024,68.5,68.77,-0.1,0.3474,0.3608,-0.967,-0.0259,-0.6591,0.5637,-0.85,0.8033,0.6516,1.072,-0.8121,-0.9434,-0.5426,-1.8623,-0.567,0.6573
Bronson Burgoon,2024,69.0,69.69,0.3077,0.167,-0.1151,-0.8942,-0.23,-0.6135,-2.0869,-1.0165,0.5697,-0.0176,0.7809,0.2243,0.8251,-0.5864,-0.1585,-0.543,-1.8429
Justin Suh,2024,69.0,69.88,-0.3128,0.2031,0.285,-0.5314,-0.2565,-1.1548,-0.7557,-1.1298,-0.3999,-0.2654,0.4328,-0.5748,-1.3224,-2.3791,-2.268,-0.3752,0.9467
Kevin Kisner,2024,69.0,70.69,-0.3713,-1.7207,-1.7279,-0.6561,-0.4719,-0.7619,-2.6354,-0.2669,-2.5131,-1.7696,0.0104,-0.0129,0.9177,-0.5228,0.477,-1.2263,2.1579
Joe Highsmith,2024,69.0,69.39,-0.1,0.2151,0.3062,-0.925,-0.5361,-1.0817,-0.8832,-0.3702,0.8848,-0.1962,-0.6091,-0.7621,1.7093,0.1649,0.2336,0.1403,-0.6964
Greyson Sigg,2024,69.0,69.53,-0.5967,-0.8069,-1.2132,0.5444,-0.778,0.4305,1.0025,-0.2203,-0.6973,-1.2146,0.7284,-0.3438,1.1283,-0.7175,-0.3749,-0.543,-0.8173
Matt Kuchar,2024,69.0,69.47,1.0321,-1.5644,-1.8478,-0.0159,0.9151,1.0952,-1.9565,-0.5335,-1.7396,-1.836,-0.596,0.3991,-1.314,-0.5228,0.5987,1.4589,0.6098
Chan Kim,2024,69.0,68.76,-0.1,-0.2177,-0.6862,0.2348,0.5844,1.102,0.4303,-0.9666,-0.0451,-0.1249,-0.0203,0.4304,-1.314,0.4431,0.1254,-1.2263,-0.2646
Wilson Furr,2024,69.0,70.24,-0.1,1.4656,1.2421,-1.4139,-1.5622,-1.8424,-1.0967,-0.6301,0.464,-0.758,-0.6463,-0.5124,1.5157,0.777,0.7204,-2.1134,1.6268
Hayden Springer,2024,69.0,68.88,-0.1,1.3935,1.1416,-0.7709,-1.3336,-0.5221,-0.2339,-1.8128,0.2436,0.5072,0.7262,0.1494,0.463,0.7611,-0.1856,0.1523,0.7048
Michael Kim,2024,69.0,69.39,-0.4589,0.2392,-0.0799,-1.222,-0.9632,-1.1914,-0.1005,-0.4968,0.0937,-0.8078,-0.7142,-0.2627,0.7998,0.936,0.5311,0.0803,-0.0357
Mac Meissner,2024,69.0,69.64,-1.0138,0.672,-0.1521,-1.0329,-0.5399,-1.2279,-0.0263,-0.2203,0.378,-0.9707,-0.4471,-0.0504,0.7577,0.5067,-0.0098,-0.1235,0.5667
Callum Tarren,2024,69.0,69.56,0.1394,1.2852,1.4871,-1.5539,-1.5717,-1.0772,-1.7697,-1.1964,-0.1839,0.3443,-0.8149,0.3617,-0.7834,-0.6857,-0.5777,-1.4061,-0.664
Sam Ryder,2024,69.0,68.89,-0.3531,-1.4201,-0.5346,0.2012,-0.4435,0.8759,0.0656,-0.6267,-1.1601,-0.3064,0.168,-0.7309,-0.7666,-0.1094,-0.9158,0.2002,-0.1955
Joseph Bramlett,2024,69.0,68.55,1.0249,1.4055,1.3831,-1.3522,-0.8574,-0.6317,0.3858,-0.8366,-0.1332,0.5657,0.9735,-0.4999,0.8251,-1.1349,0.0714,-0.9506,0.0614
Jordan Spieth,2024,69.0,68.23,1.0582,0.6119,0.5811,0.2824,0.2216,0.7708,0.3295,1.0424,0.6997,0.6145,0.3431,-0.3189,0.6145,-1.0991,-0.145,0.9914,1.3569
Lanto Griffin,2024,69.0,68.96,0.0968,1.3333,0.879,-0.2569,0.8339,-0.6112,1.3998,-0.81,-0.2632,0.1589,0.4175,-0.2564,-1.6256,-0.1412,-0.9293,-2.4251,0.6465
Bud Cauley,2024,69.5,69.04,-0.1,-0.5183,-0.9435,0.0135,-0.3869,-0.3805,0.878,-0.127,-1.0609,-0.5454,-0.3946,-0.5499,0.404,-0.9242,0.7069,0.2122,-0.2365
Carl Yuan,2024,69.5,69.24,-0.5555,1.646,0.7239,-0.4936,-0.9538,0.3551,-1.4465,-0.4302,0.3141,0.4379,-0.7426,1.192,0.5556,-0.4115,0.0037,-1.2263,-0.4568
David Lipsky,2024,69.5,69.64,0.297,-1.2398,-1.5463,-0.2639,0.5693,0.3231,-1.0729,-0.8699,-0.9023,-0.9024,-1.1979,-1.6799,0.1935,-1.0276,-0.4966,-1.1424,0.1694
Jhonattan Vegas,2024,69.5,68.18,0.505,1.4896,1.4325,-0.212,-0.0618,-1.1708,1.3464,-0.3835,-0.3932,1.7051,1.8163,-1.2991,0.6061,0.6856,-0.118,-0.3992,-1.4672
Chez Reavie,2024,69.5,69.75,-0.3713,-1.4682,-2.0963,0.4197,1.0531,0.435,-0.0945,-0.6701,0.3031,-1.8886,-0.3399,0.73,-0.2023,-0.7334,0.2336,0.1523,-0.5971
Matt NeSmith,2024,69.5,69.25,-0.1,-0.7107,-0.5117,-0.1854,0.2254,-0.184,0.62,-0.0837,-0.6731,-0.3435,-1.6795,-1.7299,-2.4256,-2.2876,-3.6202,-0.591,-1.532
Cameron Champ,2024,69.5,68.43,0.5209,2.2832,2.9272,-1.0245,-1.36,-0.2571,-0.0945,-1.3064,-0.8053,1.1413,0.7481,0.012,-2.5099,-0.638,-1.673,-0.1235,2.2918
Brandon Wu,2024,69.5,68.2,0.4908,-0.2418,-0.2914,0.218,0.3652,1.1683,0.8957,-0.72,-0.4549,-0.0918,0.3847,-0.1877,0.4293,0.8486,0.1795,0.2242,0.5472
Raul Pereda,2024,69.5,71.32,-0.1,-1.8289,-1.6451,-1.2136,-0.8971,-1.7419,-4.2809,-2.1293,0.3516,-2.4496,-2.9272,0.4366,1.1367,0.9996,0.8556,0.6198,1.996
Ben Silverman,2024,69.5,69.46,-0.1,-1.0354,-1.3701,0.2502,0.9926,-0.216,0.6763,-0.5268,0.3207,-2.1511,0.9341,0.78,1.3135,0.7095,0.2066,1.4469,0.4997
Pierceson Coody,2024,70.0,69.75,-0.3937,1.3454,1.258,-0.8662,-1.5358,-1.8721,0.1782,-0.4968,-0.2765,-0.3493,0.2336,-0.8371,-2.3162,-0.3995,-0.8076,0.44,-0.4049
Parker Coody,2024,70.0,69.0,0.0917,0.66,0.5441,-1.0651,-1.6303,-1.3102,0.2316,-0.6034,-0.5255,0.4057,-0.596,0.3305,-0.6824,-0.9163,0.139,-0.3272,0.2277
Davis Thompson,2024,70.0,69.08,0.0108,0.5879,0.5582,-0.6505,-0.7648,-0.8076,0.6763,-0.5968,-0.4395,-0.6839,0.9998,0.012,0.1682,0.3756,0.7475,0.4639,1.0913
Erik Barnes,2024,70.0,69.39,-0.1,0.66,0.0964,-0.8004,-1.292,0.2591,-0.3317,0.9958,-0.3844,-1.5141,-0.8937,-0.5124,-0.4466,1.1705,0.2742,0.8955,0.6206
Alexander Björk,2024,70.0,70.4,-0.1,-2.6345,-2.3448,0.7615,1.2685,0.7388,-1.6748,-0.2769,0.9311,-2.8924,-3.9867,-1.2991,0.6398,-4.5414,-1.0104,2.0942,1.1863
Seamus Power,2024,70.0,68.25,1.1947,-0.3981,-0.2244,-0.0818,0.5731,1.1569,0.2583,0.9225,-0.3382,-0.4313,-0.6595,0.0308,1.0188,0.5067,0.7204,0.1403,-1.2427
Sami Valimaki,2024,70.0,68.97,-0.1,0.5398,-0.0763,-0.0594,0.061,1.0426,-0.0589,0.0063,1.4093,-0.163,-1.2133,-0.0754,-1.4824,-0.01,-0.5507,-0.6389,1.6807
Ryan Fox,2024,70.0,69.87,-0.1,1.0568,0.9495,-0.8326,-1.0652,-1.8881,-0.6282,-0.2036,0.0298,0.1004,0.4657,-1.1055,-0.5139,-0.1451,-0.7535,-0.6389,0.4479
J.J. Spaun,2024,70.0,68.44,0.3317,-0.7829,-0.6351,-0.7639,0.4427,-0.0652,-0.2872,-0.2136,1.2661,0.4116,0.6123,-0.3688,1.4483,-0.5188,0.6122,0.9914,-1.3636
Trace Crowe,2024,70.5,69.74,-0.1,0.143,-0.3284,-0.6421,-1.1616,-0.152,-1.6096,-1.4263,-0.1442,-1.119,-0.4165,1.4106,0.0419,1.7986,-0.172,0.404,1.264
Chad Ramey,2024,70.5,68.97,0.1321,-0.9632,-0.8818,0.3426,0.6374,1.0609,-0.5481,-1.0332,-0.0164,-0.9161,-1.1148,1.5729,1.3388,0.2007,0.8556,-0.3392,1.6894
Zac Blair,2024,70.5,69.67,-0.1,-2.8389,-2.0487,0.5205,1.1419,1.23,-0.9188,-0.6667,-0.4153,-1.913,-1.5832,-0.1378,0.025,-1.2144,0.2471,-0.3992,-0.3488
Robby Shelton,2024,70.5,68.98,0.1726,-0.8069,-0.9277,-0.6141,0.3256,0.5538,-0.6045,-0.7367,-0.3293,-0.7766,-0.5631,0.1244,1.103,0.7969,1.1937,-0.7828,-0.0077
Max Greyserman,2024,70.5,69.05,-0.1,1.2251,0.9125,-0.5146,-0.9915,-1.1343,0.3858,-0.5035,-0.0693,0.4565,0.6058,0.1432,-0.236,-0.5585,0.5852,-0.2433,-0.2624
Ryan Moore,2024,70.5,69.06,-0.3022,-1.4442,-1.8812,0.9436,1.1136,1.2894,0.7386,-0.0204,0.3317,-0.9414,1.4836,0.4553,1.2462,-0.2445,1.1126,-0.591,-0.8886
Jimmy Stanger,2024,71.0,68.3,-0.1,1.0087,0.4877,0.0331,-0.4246,0.7411,0.2672,-0.9432,-0.2103,0.6779,0.3847,-0.9869,-0.2697,0.5505,-0.7265,1.3031,0.694
Roger Sloan,2024,71.0,69.81,-0.1865,-0.855,-0.5734,0.246,-0.5872,-1.1388,0.2198,-1.3697,-1.0962,-0.9317,-0.145,0.6614,0.8756,1.107,1.4101,-1.4541,-1.5385
Patrick Fishburn,2024,71.0,69.58,-0.1,1.0207,1.2121,-0.191,-0.281,-1.1571,-0.4384,-0.7067,2.2356,0.7393,1.0085,-2.7912,0.4545,-1.4449,-1.4702,0.2122,0.5105
Garrick Higgo,2024,71.0,69.13,0.2535,1.4175,1.1522,-1.1183,-1.2429,-0.803,0.0359,-0.197,0.1907,-0.1435,1.4376,-1.1243,-0.3287,0.7929,-0.429,0.5838,0.7351
Paul Barjon,2024,71.0,69.84,0.0117,1.3574,1.3514,-1.3887,-0.5928,-1.8949,-1.0789,-0.4835,2.3061,0.5072,0.1133,-2.0545,-1.3898,-0.4115,-1.7541,-0.4951,-0.7461
Ryan Brehm,2024,71.5,69.48,0.0114,0.8885,1.1363,-1.5259,-2.2614,-1.4358,-1.4969,-1.9827,0.0585,0.4662,-0.5215,0.4491,-0.1518,-0.5069,-0.172,-0.3632,0.3119
Camilo Villegas,2024,71.5,69.77,-0.1,-1.7688,-1.007,0.1241,0.7526,-1.0726,-0.0441,-1.0165,-2.1473,-1.0507,0.3081,0.1806,0.5472,-0.968,-0.8346,-1.4181,-0.0746
Ryan Palmer,2024,71.5,68.93,1.2279,0.3714,-0.6791,0.9772,0.2708,0.9262,-0.812,-0.9399,0.9796,0.832,0.3737,0.6863,1.4483,0.4749,0.8151,-1.0345,0.2903
Chandler Phillips,2024,72.0,69.13,-0.1,-0.2418,-0.7937,-0.2863,-0.3188,0.3117,-0.8654,1.169,0.5962,-0.3942,-0.9528,0.6738,-0.3202,0.785,1.3289,0.4519,0.5321
Vincent Norrman,2024,72.0,68.71,0.4557,1.4656,1.5083,-0.9909,0.0062,-0.3462,1.5599,-0.8433,0.4,0.5647,0.8028,-4.477,-0.2108,-1.7868,-2.7954,-1.55,-1.3895
Josh Teater,2024,72.5,69.56,-0.5091,-0.326,-0.7778,-0.191,-0.128,-0.9995,-0.5215,-1.6062,-3.9807,-1.119,0.4022,1.2233,0.5303,1.3693,0.3418,-0.4591,-0.1437
Scott Gutschewski,2024,73.0,70.53,-0.1159,-1.0113,-0.2861,-1.3284,-0.332,-2.6876,-2.7273,0.0729,1.4512,-1.7843,-2.89,0.7862,0.9346,0.1331,0.2066,2.0942,-1.4219
Ben Taylor,2024,73.0,70.03,-0.5951,-0.0734,0.2709,-2.6437,-1.0369,-1.9817,-1.5088,-0.6834,0.7967,-1.9316,-0.8149,1.0422,-0.3708,1.3136,-0.2261,0.5478,-0.0703
Kevin Streelman,2024,73.5,69.68,-0.1,-0.4823,-0.8025,-0.9782,0.8679,-0.7711,-0.6549,0.2162,0.6138,-1.119,-0.0728,1.935,-0.1097,-2.0611,0.4229,-1.3462,0.5494
